epoch,loss
0,1117243.478472222
1,693224.7204861111
2,652531.3373263889
3,628206.0170138889
4,605688.7722222222
5,605141.8772569444
6,578886.655295139
7,586412.0891493056
8,583482.07734375
9,574213.4480034722
10,568088.2884548611
11,566094.4017361111
12,550140.3214409723
13,554426.7011284722
14,549797.6602430556
15,540989.8730034722
16,548378.0764756944
17,537335.3105034722
18,541717.235329861
19,528019.2849826389
20,529562.8374131945
21,524960.67734375
22,531609.4020833333
23,528419.9519965277
24,523404.1818576389
25,499764.0799479167
26,513381.85616319446
27,500878.97013888886
28,496341.559375
29,507673.5688368055
30,490237.87065972225
31,493477.5717881945
32,502720.92161458335
33,500080.97517361114
34,481529.64539930556
35,487995.0284722222
36,487043.2243055556
37,479330.64722222224
38,505441.81892361114
39,477052.23359375
40,474733.9513020833
41,480714.103125
42,468506.0887152778
43,468012.8146701389
44,469502.55104166665
45,471635.59071180556
46,465980.87022569444
47,467258.38776041666
48,459226.41397569445
49,461190.83663194446
50,468115.8556423611
51,450974.82508680556
52,464781.19210069446
53,444889.90555555554
54,455294.83619791665
55,442201.8770833333
56,455910.2524305555
57,451703.2423611111
58,436406.1087673611
59,436260.8098958333
60,449669.2081597222
61,433141.5771701389
62,428605.01701388886
63,429291.7486979167
64,433512.4322916667
65,422080.39574652776
66,426211.7361111111
67,435791.8926215278
68,423304.93697916664
69,410998.2057291667
70,413282.6780381944
71,416883.0060763889
72,414735.26796875
73,403895.7511284722
74,417685.1037326389
75,430363.6162326389
76,411277.48185763886
77,417140.3533854167
78,401562.2607638889
79,398360.87491319445
80,413557.9160590278
81,417364.53003472224
82,404800.87586805556
83,409407.44947916665
84,403349.06666666665
85,408357.3800347222
86,399225.35208333336
87,394897.62508680555
88,397218.29140625
89,405147.23515625
90,390685.1775173611
91,391901.90338541666
92,403921.8689236111
93,392127.47126736114
94,389192.00755208335
95,402105.5722222222
96,389583.8146701389
97,391682.72213541664
98,382667.74748263886
99,392274.30555555556
100,385980.5520833333
101,375445.11727430555
102,385607.7249131944
103,383137.5478298611
104,388713.2715277778
105,380967.0784722222
106,380833.1910590278
107,390833.81536458334
108,378092.7751736111
109,379817.40651041665
110,384407.0563368056
111,367598.5640625
112,403273.98038194445
113,381233.44522569445
114,364583.0306423611
115,366357.0537326389
116,362766.30390625
117,367517.8355902778
118,382953.55946180556
119,372139.53177083336
120,369630.1448784722
121,378911.41545138886
122,362747.5001736111
123,371767.55815972225
124,359933.9044270833
125,367044.08567708335
126,371234.6954861111
127,367149.05625
128,367794.6165798611
129,369083.53506944445
130,360411.2713541667
131,353592.17526041664
132,359511.709375
133,352398.59331597225
134,361046.59817708336
135,357045.52074652776
136,344830.6282986111
137,362078.60590277775
138,351294.99487847224
139,342696.6756076389
140,350025.3152777778
141,338082.5446180556
142,351462.303125
143,338161.9876736111
144,335756.20581597224
145,350362.04340277775
146,349315.37065972225
147,345515.04765625
148,341782.8011284722
149,364550.6697916667
150,345007.5253472222
151,357776.0013020833
152,370199.85798611114
153,357554.1560763889
154,338733.5059027778
155,337794.2436631945
156,332626.9026909722
157,338667.85425347224
158,328716.5467013889
159,329198.8245659722
160,354933.8582465278
161,336551.690625
162,346948.37543402775
163,343122.0362847222
164,339202.4039930556
165,337836.63272569445
166,330629.81328125
167,349448.5927951389
168,327688.20546875
169,323806.5745659722
170,320981.83289930556
171,330717.4265625
172,325402.36059027776
173,335298.7693576389
174,317685.67578125
175,340775.2520833333
176,321471.68333333335
177,324468.73038194445
178,324269.2949652778
179,319233.65729166666
180,337567.22196180554
181,315384.11970486114
182,315855.4039930556
183,317801.68984375
184,310159.5289930556
185,304007.5802083333
186,307203.10703125
187,313616.0576388889
188,319277.3915798611
189,313912.57135416666
190,313485.1235243055
191,312738.7736111111
192,313135.47725694446
193,314305.7828993056
194,315137.1897569444
195,298667.11206597224
196,297522.1542534722
197,301171.0814236111
198,312435.26909722225
199,316635.9105034722
